date;link
13.11.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7645177
13.10.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7149935
09.10.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7149934
08.09.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7149933
04.09.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7149937
19.11.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7149932
15.11.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7149931
15.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7149929
11.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7149928
10.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7393745
06.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7149930
10.06.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7354602
07.06.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7354601
25.03.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7175924
22.03.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7175923
20.11.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7141691
16.10.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6685996
12.10.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6685826
11.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6685814
27.03.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6685813
22.03.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6685812
14.11.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6685766
10.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6685765
05.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6685764
05.09.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6685763
01.09.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6685762
12.06.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6689246
28.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6685755
24.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6685754
15.11.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6634230
11.11.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6634229
11.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6163651
07.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6163650
06.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6163649
02.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6163648
06.06.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6514715
28.03.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393384
25.03.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393383
