date;link
31.03.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7410403
28.03.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7410402
25.03.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7410401
29.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7426309
10.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7411712
08.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7411711
06.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7411710
18.11.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7397982
16.11.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7397983
13.11.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7397984
09.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7393735
07.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7221794
05.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7221793
01.04.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7184596
29.03.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7184595
26.03.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7184558
11.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7172084
09.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7172083
07.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7172082
10.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7097793
08.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7097639
08.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6929305
06.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7097638
13.05.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7096569
10.05.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7071186
07.05.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7071185
04.05.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7071184
27.03.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6923516
24.03.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6923515
21.03.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6923514
12.02.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6896357
10.02.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6896356
08.02.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6896355
04.09.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878689
02.09.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878688
31.08.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878687
10.05.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6834027
07.05.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6834026
04.05.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6834025
26.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6645899
23.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6645898
21.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6645897
13.02.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6636782
11.02.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6645896
09.02.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6636780
06.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627822
04.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627821
05.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627820
03.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627819
01.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627818
31.03.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393482
29.03.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393481
14.02.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393480
12.02.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393479
10.02.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393478
