date;link
11.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7410398
09.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7410397
07.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7410396
18.11.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390917
15.11.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390916
12.11.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390915
15.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390914
12.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390913
09.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390912
09.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7398261
06.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390908
13.06.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7354794
11.06.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7354793
12.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7172087
10.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7172086
08.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7172085
17.11.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7142704
14.11.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7142702
16.10.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7135199
13.10.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7135198
10.10.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7135197
10.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7139809
07.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6929307
17.06.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6923381
15.06.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6923380
13.06.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6923379
13.02.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6896354
11.02.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6896353
09.02.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6896352
11.11.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6886219
08.11.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6886218
10.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878459
07.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878458
04.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878457
02.09.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6884811
30.08.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878430
18.06.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6845024
16.06.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6845023
14.06.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6845022
27.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6675992
25.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6675991
24.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6675990
13.11.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6634147
11.11.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6634146
11.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6633222
08.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6633221
06.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6633220
04.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627927
02.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627926
08.06.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6596227
06.06.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6596226
29.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6596062
28.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6562244
26.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6562243
25.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6562242
29.03.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6417471
27.03.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6417200
26.03.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6417199
