date;link
25.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7399000
19.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7397086
17.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7397085
04.05.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7353651
02.05.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7353314
30.04.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7297055
29.04.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7295784
27.04.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7295783
20.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7097795
18.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7097794
01.05.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7094675
29.04.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7094499
27.04.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6966559
26.04.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6966558
24.04.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6966557
26.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6656294
24.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6656293
21.09.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6656292
19.09.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6656291
18.04.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6656289
16.04.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6656290
20.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6567184
18.10.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6566980
22.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6566916
20.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6566915
01.05.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6596420
29.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6596671
28.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6566911
26.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6566908
24.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6566902
