name
Fredrik Oppegård
Per Kristian Worre Bråtveit
Hugo Vegard Vetlesen
Fredrik Pallesen Knudsen
Runar Espejord
Jakob Glesnes
Alexander Sørloth
Martin Samuelsen
Kristoffer Askildsen
Petter Dahle Strand
Felix Horn Myhre
Tobias Borchgrevink Børkeeiet
Sondre Løvseth Rossbach
Ole Kristian Selnæs
Colin Rösler
Marius Christopher Høibråten
Julian Rekdahl Faye Lund
Jens Petter Hauge
Simen Bolkan Nordli
Einar Hjellestad Iversen
Leo Erik Jean Cornic
Henrik Rørvik Bjørdal
Kristian Thorstvedt
Mats Møller Dæhli
Kristoffer Haraldseid
Leo Skiri Østigård
Sigurd Rosted
Markus Lund Nakkim
Oskar Aron Opsahl
Viljar Røsholt Myhra
Tord Johnsen Salte
Birk Risa
Sander Svendsen
Andreas Hoven
Anders Trondsen
William Sælid Sell
Odin Luraas Bjørtuft
Christian Kjetil Haug
Kristoffer Tønnessen
Osame Sahraoui
Adrian Nilsen Pereira
Tobias Heintz
Morten Thorsby
Eirik Hestad
Marcus Holmgren Pedersen
Look Saa Nicholas Kengkhetkid Mickelson
Mohamed Amine Elyounoussi
Sebastian Pedersen
Eman Markovic
Fredrik André Bjørkan
Christian Dahle Borchgrevink
Veton Berisha
Jonas Grønner
Kristoffer-August Sundquist Klaesson
Jørgen Strand Larsen
Olaus Jair Skarsem
Erling Braut Haaland
Julian Kristoffersen
Kristoffer Vassbakk Ajer
Ola Brynhildsen
Thomas Grøgaard
Vajebah Kaliefah Sakor
Gaute Høberg Vetti
Andreas Klausen Helmersen
Mathias Antonsen Normann
Tomas Olai Totland
Morten Ågnes Konradsen
Håkon Evjen
Emil Gundelach Ødegaard
Iver Tobias Rørvik Fossum
Halldor Østervold Stenevik
Amund Wichne
Hasan Huseyin Duman
Mikael Norø Ingebrigtsen
Aron Leonard Dønnum
Ivan Tarek Fjellstad Näsberg
Markus Solbakken
Eirik Birkelund
Jesper Norman Daland
Martin Ødegaard
Andreas Schjølberg Hanche-Olsen
Kristoffer Hay
Erik-Johannes Thorsbye Arnebrott
Johan Hove
Tobias Hammer Svendsen
Birger Solberg Meling
Magnus Retsius Grødem
Noah Jean Holm
Ulrik Yttergård Jenssen
Sander Gard Bolin Berge
Joshua Gaston Kitolano
Tobias Christensen
Lars Olden Larsen
Edvard Sandvik Tagseth
Vebjørn Alvestad Hoff
Jostein Maurstad Gundersen
Julian Ryerson
Mathias Knutsen Rasmussen
Mathias Lønne Dyngeland
Emil Bohinen
Bjørn Inge Utvik
Ohikhuaeme Anthony Omoijuanfo
Ulrik Tillung Fredriksen
Dennis Tørset Johnsen
Ghayas Zahid
Lars Mogstad Ranger
Rafik Zekhnini
Erlend Dahl Reitan
Fredrik Aursnes
Martin Tangen Vinjor
