name
Fredrik Oppegård
Isak Dybvik Määttä
Torje Naustdal
Hugo Vegard Vetlesen
Thomas Grevsnes Rekdal
Tobias Borchgrevink Børkeeiet
William Arne Hanssen
Filip Møller Delaveris
Mathusan Sandrakumar
Vegard Stabell Somdal
Arnar Thor Gudjonsson
Jonas Austin Nilsen Pereira
Sebastian Jarl
Colin Rösler
Julian Rekdahl Faye Lund
Jens Petter Hauge
Morten Renå Olsen
Erik Tobias Tangen Sandberg
Einar Hjellestad Iversen
Ole Martin Lekven Kolskogen
Leo Erik Jean Cornic
Oscar Aga
Sigurd Grønli
Mathias Boge
Joakim Barstad
Tord Johnsen Salte
Andreas Hoven
Sivert Heggheim Mannsverk
Markus Myre Aanesland
Tobias Hafstad
Håkon Gangstad
Erik Botheim
Magnus Nordengen Knudsen
Look Saa Nicholas Kengkhetkid Mickelson
Anas Farah Ali
John Shuguto Kitolano
Eman Markovic
Anders Johan Johansen
Fredrik André Bjørkan
Martin Ove Roseth
Daniel Nicolai Fosso Fremstad
Andreas Smedplass
Thomas Hallstensen
Sander Johan Christiansen
Vetle Hellestø
Elias Hoff Melkersen
Olaus Jair Skarsem
Thomas Torgersen Herskedal
Kristoffer Vassbakk Ajer
Benjamin Yapi Zalo
Magnus Lankhof Dahlby
Tomas Olai Totland
Emil Kalsaas
Henrik Johnsgård
Sturla Ottesen
Rasmus Semundseth Sandberg
Robert Behson-Courage Williams
Ulrik Skorpen Edvardsen
Emil Gundelach Ødegaard
Hasan Huseyin Duman
Mads Hedenstad Christiansen
Josef Brian Baccay
Jonatan Strand Byttingsvik
Lars Erik Sødal
Markus Solbakken
Aune Selland Heggebø
Kristoffer Hay
Mikael Andersen Baisotti
Johan Hove
Jørgen Vedal Sjøl
Tobias Hammer Svendsen
Noah Jean Holm
Mustapha Fofana
Joshua Gaston Kitolano
Kornelius Normann Hansen
Sander Haugaard Werni
Tobias Christensen
Elias Kristoffersen Hagen
Thomas Kinn
Lars Olden Larsen
Erick Bayesu Sagbakken
Emil Bohinen
Mads Berg Sande
Henrik Bredeli
Martin Tangen Vinjor
Even Hepsø Vetås
John Hou Sæter
Oliver Petersen
Kristoffer Askildsen
Emil Hansson
Knut Ahlander
Mikkel Tveiten
Herman Solberg Nilsen
Harald Martin Hauso
Martin Njøten Palumbo
Patrik Braathen
Sebastian Tounekti
Simen Bolkan Nordli
Eirik Lereng
Nicholas Marthinussen
Fredrik Carson Pedersen
Vegard Kongsro
Mathias Ullereng Kjølø
Leo Skiri Østigård
Oskar Aron Opsahl
Birk Risa
Halvor Hovstad
Jesper Granlund
William Sælid Sell
Christian Kjetil Haug
Mathias Sundberg
Thomas Elsebutangen
Kaloyan Kalinov Kostadinov
Tobias Heintz
Marius Amundsen Ulla
Eivind Helgesen
Adnan Hadzic
Adrian Berntsen
Apipon Tongnoy
Jesper Strand Isaksen
Andreas Fantoft
Sebastian Pedersen
David Møller Wolfe
Abdul-Basit Ouro Agouda
Andreas Dybevik
Jonas Stensrud Fjeldberg
Emil Konradsen Ceide
Nicolas Pignatel Jenssen
Håvard Mandelid Kleppe
Christian Dahle Borchgrevink
Eirik Opheim Moldenes
Kristoffer-August Sundquist Klaesson
Jørgen Strand Larsen
Erling Braut Haaland
Kristoffer Velde
Gaute Høberg Vetti
Andreas Klausen Helmersen
George Nuah Gibson
Sebastian Sørlie Henriksen
Sivert Eriksen Westerlund
Håkon Evjen
Håvar Kleppe
Jonas Tillung Fredriksen
Halldor Østervold Stenevik
Marius Bildøy
Jesper Norman Daland
Trygve Solberg Aarstad
Magnus Retsius Grødem
Niklas Haugland Edris
Bjørn Mæland
Sander Gard Bolin Berge
Marius Halvorsen
Ask Tjærandsen-Skau
Harald Nilsen Tangen
Edvard Sandvik Tagseth
Runar Hauge
Jesper Espung
Eirik Skavhaug Larsson
Sander Amble Haugen
Andreas Ueland
Ulrik Tillung Fredriksen
Dennis Tørset Johnsen
Rafik Zekhnini
Sander Tangvik
Mikael Birk Giæver Ugland
