name
Fredrik Oppegård
Emir Comor
William Fredriksen Bjeglerud
Thomas Grevsnes Rekdal
Martin Helmer Rusten
Mikkel Tveiten
Sixten Cappelen Abrahamsen
Harald Martin Hauso
Nils Vallotto
Edmund Koranteng Owusu
Kristian Bernt Torgersen
Tobias Fjeld Gulliksen
Sebastian Tounekti
Syver Aas
Herman Hammy Geelmuyden
Christos Zafeiris
Sondre Fosnæss Hanssen
Einar Hjellestad Iversen
Adrian Manjothi Hansen
Noah Bech Hermansen
Isak Tomar Hjorteseth
Amel Muratovic
Elias Hagadokken Lenoci
Oscar Aga
Carl William Lafquist-Lygre
Fredrik Carson Pedersen
Kristian Fredrik Malt Arnstad
Peter Bjerke
Oskar Aron Opsahl
Alwande Benedict Roaldsøy
Petter Karlsen
Martin Fjeld
Sivert Heggheim Mannsverk
Sondre Auklend
Mikail Maden
Dennis Gjengaar
Jørgen Myhre
Isak Hansen-Aarøen
Vegard Storsve
Marius Amundsen Ulla
Didrik Moen Tvenge
Apipon Tongnoy
Andreas Brede Albertsen
Brede Frøysa
Henrik Kjeilen Steinseide
Andre Hovland Lønning
Audun Engen Vik
Marius Berg Fossum
Simon Zupancic Bakken
Mohammed Badran Halim
Sander Eng Strand
Henrik Webb Dahl
Nicolas Pignatel Jenssen
Berkay Duman
Stian Akernes
Anders Walker Totland
Mikael Engsmyr
Nor Raad Taher Amshatat
Storm Strand-Kolbjørnsen
Adhurim Mjekiqi
Edmund Koranteng Owusu (strøket)
Andreas Rædergård Schjelderup
Sadir Mohammed Abud
Brage Skaret
Christopher Georgiou Hurleen
Christian Ludvig Qvenild Bergh
Sander Johan Christiansen
Magnus Bech Riisnæs
Daniel Kubrom Hamde
Miran Kuci
David Buhinja
Ulrik Valderhaug Syversen
Lloyd Adrian Dahle Fagerlie
Ola Aga Ljoså
Mikal Berg Kvinge
Sebastian Sørlie Henriksen
Shreeraam Sritharan
Philip Grønnern Ekeberg
Lars Christian Moldestad
Vegard Johnsen
Håvar Kleppe
Jonas Aleksander Osaland Toftesund
Andreas Fredrik Haug
Isak Midttun Solberg
Oliver Voll Karlsen
Jonas Skjerven Valland
Joakim Holmen Jahnsen
Sivert Hagen Jarmund
Odin Thiago Holm
Eliot Llullaku
Trygve Solberg Aarstad
Dylan Ryan Murugesapillai
Bryan Solhaug Fiabema
Anders Ulvik Fleten
Noah Jean Holm
Joshua Gaston Kitolano
Harald Nilsen Tangen
Sebastian Stokke
Kornelius Normann Hansen
Iver Flønes
Endre Handegard Bergsaker
Uranik Seferi
Edvard Sandvik Tagseth
Runar Hauge
Elias Sebastian Solberg
Marcus Ellingsen Andersen
Kristoffer Forgaard Paulsen
Oskar Siira Sivertsen
Eirik Sæten
Nicolai Alexander Georgsen Skoglund
Håvard Hetle
Jørgen Johnsen
Sander Tangvik
