name
Hugo Vegard Vetlesen
Enock Mawete Mwimba
Sondre Skogen
Jens Petter Hauge
Mathusan Sandrakumar
Eman Markovic
Henrik Bredeli
Christian Dahle Borchgrevink
Tobias Hammer Svendsen
Mikael Tørset Johnsen
Simen Bolkan Nordli
Markus Solbakken
Ulrik Tillung Fredriksen
Sebastian Jarl
Martin Tangen Vinjor
Leo Skiri Østigård
Petter Mathias Olsen
Marius Bustgaard Larsen
Joakim Barstad
Sebastian Pedersen
Tobias Borchgrevink Børkeeiet
John Shuguto Kitolano
Julian Rekdahl Faye Lund
Robert Behson-Courage Williams
Kristoffer Vassbakk Ajer
Elias Kristoffersen Hagen
Magnus Retsius Grødem
Filip Møller Delaveris
Tobias Christensen
Birk Risa
Conrad Wallem
Halldor Østervold Stenevik
Andreas Hoven
Lars Mogstad Ranger
Ola Brynhildsen
Johan Hove
Kristoffer-August Sundquist Klaesson
Mads Berg Sande
Philip Alexander Kolberg Slørdahl
Andreas Ueland
Andreas Fantoft
Erik Tobias Tangen Sandberg
Arne Holter
William Sælid Sell
August Mikkelsen
Felix Horn Myhre
Marius Bildøy
Abdul-Basit Ouro Agouda
Benjamin Yapi Zalo
Herman Solberg Nilsen
Mikael Birk Giæver Ugland
Noah Jean Holm
Morten Renå Olsen
Andreas Dybevik
Patrik Braathen
Jesper Norman Daland
Colin Rösler
Andreas Hippe Fagereng
Jonas Tillung Fredriksen
Elias Edison Mordal
Sander Svendsen
Fabian Østigård Ness
Jørgen Strand Larsen
Magnus Lankhof Dahlby
Arnar Thor Gudjonsson
Mads Hedenstad Christiansen
Emil Hansson
Torje Naustdal
Erik Botheim
Emil Kalsaas
Markus Olsen Pettersen
Jonatan Strand Byttingsvik
Jakob Maslø Dunsby
Tord Johnsen Salte
Look Saa Nicholas Kengkhetkid Mickelson
Tobias Heintz
Adnan Hadzic
Jesper Strand Isaksen
Knut Ahlander
Daniel Nicolai Fosso Fremstad
Joshua Gaston Kitolano
Edvard Sandvik Tagseth
Kristian Thorstvedt
Emil Varhaugvik Breivik
Kevin Martin Krygård
Marcus Holmgren Pedersen
George Nuah Gibson
Kristian Sirum Novak
Erling Braut Haaland
Emil Gundelach Ødegaard
Jonas Stensrud Fjeldberg
Eirik Opheim Moldenes
Christian Kjetil Haug
Hasan Huseyin Duman
Erik-Johannes Thorsbye Arnebrott
Julian Ryerson
Patrick Berg
Sigurd Hauso Haugen
Badr Rahhaoui
Sander Gard Bolin Berge
Arent-Emil Klaussen Hauge
Håkon Holmefjord Lorentzen
Eirik Haugan
Mathias Berg Gjerstrøm
Egil Selvik
Mathias Knutsen Rasmussen
Ludvig Begby
Adrian Lillebekk Ovlien
Per-Magnus Steiring
Amund Wichne
Sivert Solli
Axel Kryger
Erlend Dahl Reitan
Oliver Rotihaug
