name
Fredrik Oppegård
Thomas Grevsnes Rekdal
Martin Helmer Rusten
Lars Martin Kvarekvål
Felix Horn Myhre
Tobias Borchgrevink Børkeeiet
Edvin Hassel Grevskott
Sebastian Jarl
Colin Rösler
Kristian Bernt Torgersen
Andreas Uran
Julian Rekdahl Faye Lund
Herman Hammy Geelmuyden
Jens Petter Hauge
Erik Tobias Tangen Sandberg
Einar Hjellestad Iversen
Leo Erik Jean Cornic
Ole Martin Lekven Kolskogen
Henrik Sælebakke Falchener
Oscar Aga
Jasper Silva Torkildsen
Tord Johnsen Salte
Sivert Heggheim Mannsverk
Tobias Hafstad
Sondre Auklend
Erik Botheim
Seedy Jatta
Johan Meldalen Olstad
Marius Bustgaard Larsen
Look Saa Nicholas Kengkhetkid Mickelson
Henrik Kjeilen Steinseide
Anas Farah Ali
John Shuguto Kitolano
Eman Markovic
Anders Johan Johansen
Henrik Byklum
Fabian Filip Rimestad
Frank Stople
Emanuel Mawuena Junior Kulego
Thomas Hallstensen
Sander Johan Christiansen
Markus Olsen Pettersen
Oscar Bobb
Elias Hoff Melkersen
Enock Mawete Mwimba
Daniel Kubrom Hamde
Hannes Franklin Bergmann Bordal
Emil Kalsaas
Henrik Johnsgård
Tengel Lia Fredriksen
Rasmus Semundseth Sandberg
Philip Grønnern Ekeberg
Robert Behson-Courage Williams
Emil Gundelach Ødegaard
Hasan Huseyin Duman
Mads Hedenstad Christiansen
Josef Brian Baccay
Robin Bjørkås Skrogstad
Markus Solbakken
Mads Fagerli Halsøy
Kent Malic Swaleh
Leo Fuhr Hjelde
Odin Thiago Holm
Johan Hove
Tobias Hammer Svendsen
Noah Jean Holm
Brage Berg Pedersen
Joshua Gaston Kitolano
Kornelius Normann Hansen
Tobias Christensen
Emil Bohinen
Robin Edvardsen Lorentzen
Jørgen Johnsen
Henrik Åsali Hanssen
Ulrik Mathisen
Arne Holter
August Stana Frobenius
Alexander Hrcka Sannes
Oliver Petersen
Kristoffer Askildsen
Mikkel Tveiten
Harald Martin Hauso
Nils Vallotto
Martin Njøten Palumbo
Sebastian Tounekti
Jonathan Lein Valberg
Christos Zafeiris
Anders Myking Waagan
Noah Bech Hermansen
Mathias Andreas Bauer
Fredrik Carson Pedersen
Mathias Ullereng Kjølø
Mathias Johan Fjørtoft Løvik
Leo Skiri Østigård
Oskar Aron Opsahl
Halvor Hovstad
Martin Antonsen
Mikail Maden
Markus Vassøy Nilsen
Mathias Sundberg
David Sissoko
Kaloyan Kalinov Kostadinov
Vegard Storsve
Leonard Getz
Apipon Tongnoy
Audun Engen Vik
Sander Eng Strand
David Møller Wolfe
Sebastian Pedersen
Abdul-Basit Ouro Agouda
Nicolas Pignatel Jenssen
Emil Konradsen Ceide
Brage Skaret
Kristoffer-August Sundquist Klaesson
Jørgen Strand Larsen
Erling Braut Haaland
Max Normann Williamsen
Daniel Seland Karlsbakk
Shahram Rashid Majid Jabari
Mikal Berg Kvinge
Sebastian Sørlie Henriksen
Lars Christian Moldestad
Håkon Evjen
Halldor Østervold Stenevik
William Kulvik
Emil Solnørdal
Jesper Norman Daland
Filip Brattbakk
Trygve Solberg Aarstad
Niklas Haugland Edris
Bryan Solhaug Fiabema
Bjørn Mæland
Adan Abadala Hussein
Elias Martin Flø
Harald Nilsen Tangen
Benjamin Ray Reagan
Runar Hauge
Edvard Sandvik Tagseth
Uranik Seferi
Henrik Loholt Kristiansen
Sondre Bøhler Skulbørstad
Nicolai Alexander Georgsen Skoglund
Martin Andersen
Håvard Hetle
Andreas Ueland
Sander Tangvik
Mikael Birk Giæver Ugland
